usbr_id,USBR_PE,tz,obs_desc,site_desc
AFTY,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER) (20"" BELFORT)",Afton Wyoming 
AGA,AF,P,Reservoir Storage - Acre-Feet,"Agate Dam and Reservoir near Medford, OR"
AGA,CH,P,Feeder Canal Gage Height - Feet,"Agate Dam and Reservoir near Medford, OR"
AGA,FB,P,Forebay Elevation - Feet,"Agate Dam and Reservoir near Medford, OR"
AGA,GH,P,Gauge Height - Outlet Works Stilling Basin - Feet,"Agate Dam and Reservoir near Medford, OR"
AGA,OB,P,Air Temperature - Deg. F,"Agate Dam and Reservoir near Medford, OR"
AGA,PC,P,"Precipitation, Cumulative (Inches) (Tipping Bucket)","Agate Dam and Reservoir near Medford, OR"
AGA,QC,P,Feed Canal Inflow to Agate Reservoir,"Agate Dam and Reservoir near Medford, OR"
AGA,Q,P,Total Discharge - cfs,"Agate Dam and Reservoir near Medford, OR"
AHTI,OB,M,Air Temperature - Deg. F,Ashton
AHTI,PC,M,"PRECIP, CUMULATIVE  Ashton",
ALNO,CH,P,Canal Gauge Height (feet),"Allen Canal at Echo, OR"
ALNO,QC,P,Canal Discharge - CFS,"Allen Canal at Echo, OR"
ALPY,GH,M,Gauge Height - Feet,"Snake River above Reservoir near Alpine, WY"
ALPY,Q,M,Discharge - CFS,"Snake River above Reservoir near Alpine, WY"
ALTO,CH,P,Canal Stage - Feet,"A-Line Canal (Terminus) nr Hermiston, OR"
ALTO,QC,P,Canal Discharge - CFS,"A-Line Canal (Terminus) nr Hermiston, OR"
ALTY,OB,M,Air Temperature - Deg. F,Alta Wyoming Weather Station
ALTY,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER) (30"" BELFORT)",Alta Wyoming Weather Station
AMF,AF,M,Reservoir Storage - Acre-Feet,"American Falls Reservoir at American Falls, ID"
AMF,FB,M,Forebay Elevation - Feet,"American Falls Reservoir at American Falls, ID"
AMFI,GH,M,"Gauge Height - Feet     Snake River at Neeley, ID",
AMFI,OB,M,"Air Temperature - Deg. F        Snake River at Neeley, ID",
AMFI,Q,M,"Discharge - CFS Snake River at Neeley, ID",
AMF,OB,M,Air Temperature - Deg. F,"American Falls Reservoir at American Falls, ID"
AMF,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER) (12"" Belfort)","American Falls Reservoir at American Falls, ID"
AMF,Q,M,Discharge - CFS,"American Falls Reservoir at American Falls, ID"
AMRW,GH,P,Gauge Height - Feet,"American River near Nile, WA"
AMRW,Q,P,Discharge - CFS,"American River near Nile, WA"
AND,AF,M,Reservoir Storage - Acre-Feet,Anderson Ranch Dam and Reservoir
AND,FB,M,Forebay Elevation - Feet,Anderson Ranch Dam and Reservoir
AND,GH,M,Gauge Height - Feet,Anderson Ranch Dam and Reservoir
ANDI,GH,M,Gauge Height - Feet     South Fork Boise River at Anderson Ranch Dam,
ANDI,Q,M,Discharge - CFS South Fork Boise River at Anderson Ranch Dam,
AND,OB,M,Air Temperature - Deg. F,Anderson Ranch Dam and Reservoir
AND,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER)(20"" BELFORT)",Anderson Ranch Dam and Reservoir
ANTI,GH,M,Gauge Height - Feet,"Henrys Fork at St. Anthony, ID"
ANTI,Q,M,Discharge - CFS,"Henrys Fork at St. Anthony, ID"
ANTO,CH,P,Canal Gauge Height (feet),Antelope Creek and Diversion at Dam
ANTO,GH,P,Gauge Height - Feet,Antelope Creek and Diversion at Dam
ANTO,QC,P,Canal Discharge - CFS,Antelope Creek and Diversion at Dam
ANTO,Q,P,Discharge - CFS,Antelope Creek and Diversion at Dam
ANTO,QZ,P,"Discharge, Fish Screen Bypass - CFS",Antelope Creek and Diversion at Dam
ARAO,OB,P,Air Temperature - Deg. F,Aurora
ARAO,PC,P,"PRECIP, CUMULATIVE  Aurora",
ARK,AF,M,Reservoir Storage - Acre-Feet,Arrowrock Dam and Reservoir
ARK,FB,M,Forebay Elevation - Feet,Arrowrock Dam and Reservoir
ARK,OB,M,Air Temperature - Deg. F,Arrowrock Dam and Reservoir
ARK,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER) (12""Belfort)",Arrowrock Dam and Reservoir
ARNO,CH,P,Canal Gauge Height (feet),Arnold Canal
ARNO,OB,P,Air Temperature - Deg. F,Arnold Canal
ARNO,QC,P,Canal Discharge - CFS,Arnold Canal
ASLO,CH,P,Canal Stage - Feet,"Ashland Lateral near Ashland, OR"
ASLO,QC,P,Canal Discharge - CFS,"Ashland Lateral near Ashland, OR"
ATLI,OB,M,Air Temperature - Deg. F,Atlanta 3 Weather Station
ATLI,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER)(20"" Belfort)",Atlanta 3 Weather Station
AUGW,GH,P,Gauge Height - Feet,Ahtanum Creek at Union Gap
AUGW,Q,P,Discharge - CFS,Ahtanum Creek at Union Gap
BALO,OB,M,Air Temperature - Deg. F,"Baltzor Ranch near Sheaville, Oregon"
BALO,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER)(12"" Belfort)","Baltzor Ranch near Sheaville, Oregon"
BANO,OB,P,Air Temperature - Deg. F,Bandon
BANO,PC,P,"PRECIP, CUMULATIVE",Bandon
BASO,GH,P,Gauge Height - Feet,"Bear Creek below Ashland Cr. at Ashland, OR"
BASO,Q,P,Discharge - CFS,"Bear Creek below Ashland Cr. at Ashland, OR"
BATO,OB,P,Air Temperature - Deg. F,Beatty
BATO,PC,P,"PRECIP, CUMULATIVE",Beatty
BBBO,GH,P,Gauge Height - Feet,"Big Butte Ck below Butte Falls,OR"
BBBO,Q,P,Discharge - CFS,"Big Butte Ck below Butte Falls,OR"
BCAO,GH,P,Gauge Height - Feet,"Bear Creek above Ashland, OR"
BCAO,Q,P,Discharge - CFS,"Bear Creek above Ashland, OR"
BCGO,CH,P,Gauge Height - Feet,Little Butte Ck Grinding Mill Race
BCGO,QC,P,,Little Butte Ck Grinding Mill Race
BCMO,GH,P,Gauge Height - Feet,"Bear Creek at Mouth below Central Point, OR"
BCMO,Q,P,Discharge - CFS,"Bear Creek at Mouth below Central Point, OR"
BCSO,GH,P,Stage - Feet,Beaver Creek and Beaver Siphon at Howard Prairie Can
BCSO,OB,P,Air Temperature - Degrees F,Beaver Creek and Beaver Siphon at Howard Prairie Can
BCSO,Q,P,"Discharge, cfs",Beaver Creek and Beaver Siphon at Howard Prairie Can
BCTO,GH,P,Gauge Height - Feet,Bear Creek below Phoenix Diversion near Talent
BCTO,Q,P,Discharge - cfs,Bear Creek below Phoenix Diversion near Talent
BDDI,AF,M,Reservoir Storage - Acre-Feet,Boise River below Diversion Dam near Boise
BDDI,FB,M,Forebay Elevation - Feet,Boise River below Diversion Dam near Boise
BDDI,GH,M,Gauge Height - Feet,Boise River below Diversion Dam near Boise
BDDI,Q,M,Discharge - CFS,Boise River below Diversion Dam near Boise
BENO,GH,P,Gauge Height - Feet,"Deschutes River at Benham Falls, OR"
BENO,Q,P,Discharge - CFS,"Deschutes River at Benham Falls, OR"
BEU,AF,M,Reservoir Storage - Acre-Feet,Agency Valley (Beulah) Dam and Reservoir
BEU,FB,M,Forebay Elevation - Feet,Agency Valley (Beulah) Dam and Reservoir
BEUO,GH,M,Gauge Height - Feet,North Fork Malheur River at Beulah
BEUO,OB,M,Air Temperature - Deg. F,North Fork Malheur River at Beulah
BEUO,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER) (12""Belfort)",North Fork Malheur River at Beulah
BEUO,Q,M,Discharge - CFS,North Fork Malheur River at Beulah
BEWO,OB,P,Air Temperature - Deg. F,Bend
BEWO,PC,P,"PRECIP, CUMULATIVE",Bend
BFGI,OB,M,Air Temperature - Deg. F,Boise Fairgrounds
BFGI,PC,M,"PRECIP, CUMULATIVE",Boise Fairgrounds
BFKY,GH,M,Gauge Height - Feet,"Buffalo Fork above Lava Creek near Moran, WY"
BFKY,Q,M,Discharge - CFS,"Buffalo Fork above Lava Creek near Moran, WY"
BFTI,GH,M,Gauge Height - Feet,"Snake River near Blackfoot, ID"
BFTI,Q,M,Discharge - CFS,"Snake River near Blackfoot, ID"
BICW,GH,P,Gauge Height - Feet,Moxee Drain at Birchfield Road
BIGI,GH,M,Gauge Height - Feet,Boise River at Glenwood Bridge
BIGI,Q,M,Discharge - CFS,Boise River at Glenwood Bridge
BIRO,GH,P,Gauge Height - Feet,"Birch Creek near Rieth, OR"
BIRO,Q,P,Discharge - CFS,"Birch Creek near Rieth, OR"
BJBO,GH,P,Gauge Height - Feet,"Bear Creek at Jackson St. Bridge, Medford, OR"
BJBO,Q,P,Discharge - CFS,"Bear Creek at Jackson St. Bridge, Medford, OR"
BNDW,OB,P,Air Temperature - Deg. F,Bonneville Dam
BNDW,PC,P,"PRECIP, CUMULATIVE",Bonneville Dam
BNWI,OB,M,Air Temperature - Deg . F,"Bone, ID"
BNWI,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER) (30"" BELFORT)","Bone, ID"
BOUY,OB,M,Air Temperature - Deg. F,Bondurant 4NW (NWS)
BOUY,PC,M,"Precipitation, Cumulative - Inches (20""FP NWS)",Bondurant 4NW (NWS)
BRFI,GH,M,Gauge Height - Feet,South Fork Boise River near Featherville
BRFI,OB,M,Air Temperature - Deg. F,South Fork Boise River near Featherville
BRFI,PC,M,"Precipitation, cumulative - Inches (Tipping Bucket)",South Fork Boise River near Featherville
BRFI,Q,M,Discharge - CFS,South Fork Boise River near Featherville
BRKO,OB,P,Air Temperature - Deg. F,Brookings
BRKO,PC,P,"PRECIP, CUMULATIVE",Brookings
BSCO,GH,P,Gauge Height - Feet,"Bieberstedt Creek abv Willow Lake nr Butte Falls,OR"
